"p.value","m.z","t.score"
0,151.07533,0
0,241.10819,0
0,163.03924,0
0,246.13396,0
0,262.07005,0
0,269.17591,0
0,205.15907,0
0,265.14791,0
0,271.08266,0
0,137.05968,0
0,159.0653227,0
0,171.10174,0
0,215.16474,0
0,201.13186,0
0,205.07102,0
0,245.08478,0
0,117.92746,0
0,243.1963,0
0,199.16965,0
0,239.0595,0
0,158.97749,0
0,271.06327,0
0,225.06918,0
0,101.0594767,0
0,180.03273,0
0,241.08299,0
0,181.12258,0
0,239.11217,0
0,248.09739,0
0,240.2048,0
0,229.14416,0
0,269.06746,0
0,125.09604,0
0,181.06089,0
0,249.18592,0
0,269.21235,0
0,149.0597,0
0,220.0223,0
0,234.07703,0
0,207.0657,0
0,129.97467,0
0,175.0966,0
0,255.23286,0
0,262.07003,0
0,143.07023,0
0,187.13314,0
0,114.9328362,0
0,137.05976,0
0,164.92636,0
0,157.08597,0
0,169.04966,0
0,238.07193,0
0,269.2123582,0
0,145.04962,0
0,153.01811,0
0,153.01831,0
0,175.06043,0
0,206.08153,0
0,210.05326,0
0,241.18078,0
0,267.07371,0
0,265.10577,0
0,98.02336,0
0,232.11803,0
0,251.07745,0
0,243.08098,0
0,211.06089,0
0,188.97113,0
0,135.04407,0
0,172.06071,0
0,214.0581,0
0,248.05622,0
0,235.08184,0
0,271.09551,0
0,258.11395,0
0,117.92749,0
0,199.097,0
0,269.04622,0
0,116.9274164,0
0,224.09251,0
0,211.05258,0
0,152.07069,0
0,231.55299,0
0,240.08747,0
0,121.06467,0
0,114.9328286,0
0,241.14427,0
0,156.06547,0
0,261.07522,0
0,187.09688,0
0,116.92731,0
0,197.04493,0
0,271.15548,0
0,198.14928,0
0,179.03417,0
0,106.04113,0
0,160.03951,0
0,201.04029,0
0,208.96054,0
0,227.12856,0
0,269.24879,0
0,227.12815,0
0,195.06571,0
0,116.0494,0
0,109.00305,0
0,255.23312,0
0,226.08013,0
0,266.10362,0
0,214.14435,0
0,216.03304,0
0,267.12379,0
0,231.12319,0
0,265.14803,0
0,254.10319,0
0,216.08766,0
0,168.0423,0
0,186.11278,0
0,270.09849,0
0,271.22795,0
0,117.92741,0
0,153.05473,0
0,183.1018,0
0,266.00502,0
0,161.05989,0
0,197.11762,0
0,257.11461,0
0,165.05473,0
0,257.09309,0
0,116.9273138,0
0,118.03681,0
0,123.03149,0
0,96.95865,0
0,183.13817,0
0,217.0479,0
0,237.06083,0
0,248.97339,0
0,183.0919,0
0,109.00308,0
0,141.01563,0
0,140.06191,0
0,257.16581,0
0,184.99073,0
0,158.06013,0
0,249.14956,0
0,111.00751,0
0,150.05494,0
0,153.05481,0
0,218.06653,0
0,251.05645,0
0,135.0440319,0
0,254.10048,0
0,245.56462,0
0,203.05592,0
0,214.07071,0
0,181.08617,0
0,142.04113,0
0,187.00391,0
0,236.09589,0
0,259.19139,0
0,261.03454,0
0,171.10171,0
0,200.09223,0
0,243.07836,0
0,98.97259,0
0,111.08031,0
0,116.97121,0
0,158.08122,0
0,200.09219,0
0,228.03823,0
0,241.21683,0
0,209.08162,0
0,105.95913,0
0,169.07615,0
0,203.1281936,0
0,149.99333,0
0,248.1291,0
0,141.01578,0
0,116.92727,0
0,139.05806,0
0,240.07482,0
0,233.06674,0
0,187.03684,0
0,248.09278,0
